decile,policies,exposure,observed_claims,predicted_claims,observed_frequency,predicted_frequency,actual_to_expected
1,13562,7790.050063627517,270.0,261.45826573056775,0.034659597537203976,0.03356310467776596,1.0326695897166032
2,13558,7878.472125907628,318.0,327.9976808288834,0.04036315606858421,0.04163214333782985,0.9695190502456656
3,13560,7879.999735010106,371.0,371.9780356337023,0.04708121985736643,0.04720533605871057,0.9973707167090226
4,13560,7865.63529156374,416.0,410.47538546746057,0.05288828995747862,0.05218591636300688,1.0134590641196375
5,13561,7833.989254435212,427.0,453.81947794950736,0.05450607425307023,0.057929550732097,0.9409027614445158
6,13558,7399.914977917509,488.0,482.3269615616872,0.06594670363865902,0.06518006801443334,1.011761810743369
7,13560,6869.592917883075,530.0,518.5517744512761,0.0771515876319676,0.07548508050620739,1.022077304741341
8,13561,6366.7526064825215,613.0,583.0859163738371,0.09628142286789243,0.09158293912349424,1.05130304606257
9,13559,6100.616091024777,734.0,722.076597820504,0.12031571714205395,0.11836125844450739,1.0165126556039694
10,13560,5732.405871696983,1162.0,1156.4235626858897,0.20270720985358445,0.20173441807314837,1.0048221408608784
