term,coef,relativity,se
Intercept,-1.0217,0.36,0.1499
Area=B,0.0224,1.023,0.0344
Area=C,0.0429,1.044,0.0439
Area=D,0.0994,1.105,0.0662
Area=E,0.0877,1.092,0.088
Area=F,0.0812,1.085,0.1215
VehPowerGroup=5,0.0469,1.048,0.0244
VehPowerGroup=6,0.0812,1.085,0.0239
VehPowerGroup=7,0.0817,1.085,0.0237
VehPowerGroup=8,0.0652,1.067,0.0343
VehPowerGroup=9+,0.2478,1.281,0.0266
VehAgeBand=1-10,0.0326,1.033,0.0346
VehAgeBand=11+,-0.1593,0.853,0.037
DrivAgeBand=21-25,-0.4258,0.653,0.0532
DrivAgeBand=26-30,-0.6894,0.502,0.053
DrivAgeBand=31-40,-0.487,0.614,0.0509
DrivAgeBand=41-50,-0.1281,0.88,0.0512
DrivAgeBand=51-70,-0.1685,0.845,0.0513
DrivAgeBand=71+,-0.1671,0.846,0.0572
BonusMalusBand=50,-2.1055,0.122,0.0397
BonusMalusBand=51-60,-1.6185,0.198,0.0419
BonusMalusBand=61-70,-1.1582,0.314,0.0422
BonusMalusBand=71-90,-1.1885,0.305,0.0399
BonusMalusBand=91-110,-0.6777,0.508,0.0419
VehBrand=B10,-0.0267,0.974,0.0447
VehBrand=B11,0.1538,1.166,0.047
VehBrand=B12,-0.2777,0.758,0.0245
VehBrand=B13,0.0199,1.02,0.0506
VehBrand=B14,-0.1989,0.82,0.0993
VehBrand=B2,-0.0097,0.99,0.0192
VehBrand=B3,0.0342,1.035,0.0268
VehBrand=B4,-0.0081,0.992,0.037
VehBrand=B5,0.0734,1.076,0.0307
VehBrand=B6,0.0231,1.023,0.0347
VehGas=Regular,-0.153,0.858,0.0149
Region=Aquitaine,0.09,1.094,0.1245
Region=Auvergne,-0.0093,0.991,0.1514
Region=Basse-Normandie,-0.0533,0.948,0.1314
Region=Bourgogne,0.0767,1.08,0.1337
Region=Bretagne,0.0312,1.032,0.1225
Region=Centre,0.0069,1.007,0.1208
Region=Champagne-Ardenne,0.0582,1.06,0.1726
Region=Corse,-0.0545,0.947,0.1607
Region=Franche-Comte,-0.038,0.963,0.216
Region=Haute-Normandie,-0.0245,0.976,0.1415
Region=Ile-de-France,0.0066,1.007,0.1226
Region=Languedoc-Roussillon,0.0038,1.004,0.1248
Region=Limousin,0.3488,1.417,0.144
Region=Lorraine,-0.0984,0.906,0.1306
Region=Midi-Pyrenees,-0.2162,0.806,0.1331
Region=Nord-Pas-de-Calais,0.0474,1.048,0.1251
Region=Pays-de-la-Loire,0.0186,1.019,0.123
Region=Picardie,0.1535,1.166,0.1353
Region=Poitou-Charentes,0.0269,1.027,0.1265
Region=Provence-Alpes-Cotes-D'Azur,0.1281,1.137,0.1213
Region=Rhone-Alpes,0.1923,1.212,0.1209
LogDensity,0.0547,1.056,0.0166
